"Source:","D:\Projekty\FAMO\some_wave_v2\some_wave_v2.sch"
"Date:","19.09.2022 13:37:35"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","143"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm"
"","","R40","15k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R41","15k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R42","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R43","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R44","1k 1%","Device:R","Resistors_SMD:R_0603","~",""
"","","R45","2k","Device:R","Resistors_SMD:R_0805","~",""
"","","R46","47R","Device:R","Resistors_SMD:R_0603","~",""
"","","SW1","EG2207","Switch:SW_DPDT_x2","ff_lib:SW_E-Switch_EG2207_DPDT_Straight","",""
"","","SW2","TACT-613N-F","Switch:SW_Push","Buttons_Switches_THT:SW_PUSH_6mm","~",""
"","","U1","LM833DR","Amplifier_Operational:LM2904","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm833.pdf",""
"","","U2","TPS54228DDA","ff:TPS54228DDA","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias","https://www.ti.com/lit/ds/symlink/tps54228.pdf","alt. TPS54228D"
"","","U3","LM833DR","Amplifier_Operational:LM2904","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm833.pdf",""
"","","U4","LM833DR","Amplifier_Operational:LM2904","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm833.pdf",""
"","","U5","LM833DR","Amplifier_Operational:LM2904","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm833.pdf",""
"","","U6","LM833DR","Amplifier_Operational:LM2904","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/lm833.pdf",""
"","","U7","LM4040DBZ-5","Reference_Voltage:LM4040DBZ-5","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf",""
"","","U8","FM24CL16B-GTR","Memory_EEPROM:24LC64","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","https://www.cypress.com/file/136491/download","opt. M24C04-WMN6P"
"","","VuC1","TestPoint","Connector:TestPoint","Connectors_TestPoints:Test_Point_THTPad_d2.0mm_Drill1.0mm","~",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comm"
"1","4","C1, C2, C33, C34","10u 25V X5R","Device:C","Capacitors_SMD:C_0805","~","TDK C2012X5R1E106K125AB"
"2","15","C3, C7, C10, C13, C16, C18, C21, C23, C35, C38, C39, C42, C43, C46, C49","100n 50V X7R","Device:C","Capacitors_SMD:C_0603","~",""
"3","14","C4, C5, C8, C9, C11, C12, C19, C20, C36, C37, C40, C41, C44, C45","100p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"4","5","C6, C17, C24, C25, C26","10n 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"5","4","C14, C22, C27, C31","22u 10V X5R","Device:C","Capacitors_SMD:C_0805","~","TDK C2012X5R1A226K125AB"
"6","2","C15, C47","1u X7R 10V","Device:C","Capacitors_SMD:C_0603","~",""
"7","2","C28, C32","47u, >=20V, >=5000h","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7","~","UCW1E470MCL1GS"
"8","1","C29","3,3n C0G 50V","Device:C","Capacitors_SMD:C_0603","~",""
"9","1","C30","12p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
"10","1","C48","100n 50V C0G","Device:C","Capacitors_SMD:C_1206","~",""
"11","1","C50","47p 50V C0G","Device:C","Capacitors_SMD:C_0603","~",""
